idx,RSI
1067,90.7
1068,92.27
1069,94.87
1070,76.01
1071,71.42
1072,68.91
1073,49.96
1074,51.83
1075,52.17
1076,48.19
1077,36.32
1078,26.76
1079,32.43
1080,51.68
1081,45.79
1082,57.91
1083,61.62
1084,44.99
1085,34.05
1086,32.19
1087,49.96
1088,49.99
1089,32.27
1090,25.96
1091,21.65
1092,13.65
1093,21.42
1094,28.19
1095,28.87
1096,14.33
1097,10.91
1098,20.49
1099,21.96
1100,28.48
1101,46.35
1102,39.76
1103,58.39
1104,62.24
1105,69.31
1106,84.43
1107,82.39
1108,91.6
1109,78.2
1110,79.01
1111,85.13
1112,81.62
1113,73.32
1114,70.46
1115,63.08
1116,65.05
1117,60.97
1118,69.47
1119,68.94
1120,47.24
1121,44.45
1122,65.54
1123,54.79
1124,55.33
1125,46.32
1126,54.54
1127,57.38
1128,40.97
1129,40.4
1130,32.48
1131,22.68
1132,21.09
1133,32.0
1134,36.82
1135,29.47
1136,23.06
1137,26.57
1138,28.78
1139,30.38
1140,37.09
1141,33.82
1142,26.73
1143,16.6
1144,14.65
1145,37.34
1146,45.15
1147,48.86
1148,55.33
1149,53.64
1150,60.05
1151,60.27
1152,50.09
1153,37.65
1154,21.29
1155,34.85
1156,33.05
1157,25.97
1158,22.7
1159,38.46
1160,39.48
1161,58.87
1162,69.72
1163,73.07
1164,61.73
1165,64.15
1166,84.9
1167,83.24
1168,78.9
1169,65.92
1170,61.04
1171,67.05
1172,71.1
1173,72.29
1174,75.6
1175,65.55
1176,63.17
1177,63.37
1178,75.93
1179,72.35
1180,57.78
1181,42.25
1182,53.97
1183,27.19
1184,39.06
1185,28.8
1186,20.87
1187,21.97
1188,19.05
1189,35.6
1190,40.67
1191,32.88
1192,49.03
1193,47.68
1194,56.64
1195,69.78
1196,56.36
1197,55.33
1198,50.41
1199,44.21
1200,42.63
1201,21.55
1202,23.73
1203,28.84
1204,17.06
1205,21.32
1206,24.17
1207,13.81
1208,13.72
1209,38.94
1210,60.34
1211,57.35
1212,57.35
1213,67.34
1214,66.17
1215,75.11
1216,95.66
1217,97.24
1218,96.55
1219,94.53
1220,94.3
1221,95.02
1222,95.41
1223,98.89
1224,85.96
1225,81.59
1226,78.74
1227,57.56
1228,61.17
1229,61.55
1230,56.2
1231,47.53
1232,40.08
1233,41.72
1234,54.42
1235,51.42
1236,70.26
1237,58.32
1238,44.22
1239,47.26
1240,52.87
1241,56.79
1242,69.37
1243,60.29
1244,62.4
1245,63.01
1246,61.52
1247,81.43
1248,83.5
1249,83.41
1250,85.91
1251,69.62
1252,72.74
1253,67.14
1254,61.36
1255,67.6
1256,58.07
1257,34.72
1258,22.56
1259,25.16
1260,27.29
1261,13.26
1262,11.79
1263,26.59
1264,21.4
1265,32.26
1266,49.78
1267,44.34
1268,36.35
1269,32.82
1270,29.69
1271,42.71
1272,40.47
1273,46.47
1274,37.71
1275,36.76
1276,51.2
1277,63.22
1278,75.07
1279,84.91
1280,81.37
1281,79.98
1282,74.21
1283,85.7
1284,85.16
1285,81.63
1286,81.69
1287,81.96
1288,55.68
1289,59.48
1290,39.33
1291,50.91
1292,49.92
1293,54.0
1294,48.05
1295,49.44
1296,48.3
1297,56.42
1298,61.25
1299,81.32
1300,74.8
1301,55.53
1302,51.06
1303,50.87
1304,47.07
1305,42.98
1306,32.37
1307,16.31
1308,17.03
1309,15.69
1310,16.07
1311,7.24
1312,8.4
1313,11.22
1314,10.68
1315,39.87
1316,37.37
1317,30.62
1318,36.49
1319,48.74
1320,53.06
1321,59.64
1322,47.9
1323,54.19
1324,46.22
1325,40.07
1326,38.12
1327,26.26
1328,21.6
1329,24.76
1330,15.11
1331,36.31
1332,34.44
1333,36.17
1334,36.65
1335,45.4
1336,48.94
1337,56.64
1338,56.79
1339,65.17
1340,61.41
1341,62.85
1342,58.16
1343,70.15
1344,56.49
1345,71.9
1346,49.71
1347,38.92
1348,49.62
1349,45.31
1350,59.53
1351,60.96
1352,56.67
1353,70.03
1354,66.78
1355,74.79
1356,84.77
1357,81.26
1358,64.74
1359,60.43
1360,57.84
1361,48.8
1362,43.11
1363,47.46
1364,52.6
1365,44.48
1366,45.29
1367,60.91
1368,49.41
1369,53.06
1370,95.23
1371,96.31
1372,87.88
1373,86.2
1374,77.36
1375,35.39
1376,23.61
1377,18.51
1378,34.05
1379,30.47
1380,19.88
1381,24.2
1382,32.5
1383,28.58
1384,40.16
1385,62.03
1386,66.53
1387,59.28
1388,65.35
1389,81.16
1390,80.6
1391,68.51
1392,86.2
1393,86.48
1394,70.08
1395,66.53
1396,59.25
1397,52.67
1398,51.01
1399,57.0
1400,57.15
1401,47.12
1402,49.36
1403,59.25
1404,45.35
1405,45.62
1406,45.17
1407,47.7
1408,36.69
1409,55.06
1410,47.77
1411,44.92
1412,34.47
1413,44.53
1414,49.69
1415,52.33
1416,44.41
1417,41.47
1418,20.95
1419,29.34
1420,18.93
1421,42.28
1422,29.68
1423,40.92
1424,38.19
1425,35.52
1426,56.77
1427,70.94
1428,64.65
1429,76.77
1430,73.7
1431,68.49
1432,56.55
1433,60.44
1434,67.82
1435,46.76
1436,35.39
1437,31.41
1438,26.57
1439,25.86
1440,34.11
1441,40.01
1442,40.42
1443,39.95
1444,51.48
1445,58.12
1446,59.76
1447,37.01
1448,34.62
1449,31.63
1450,25.99
1451,25.59
1452,8.73
1453,5.01
1454,21.07
1455,38.23
1456,45.2
1457,64.67
1458,49.0
1459,47.95
1460,59.05
1461,61.51
1462,58.77
1463,46.3
1464,53.08
1465,58.97
1466,49.52
1467,63.69
1468,72.47
1469,63.95
1470,68.25
1471,66.66
1472,83.23
1473,79.89
1474,80.32
1475,87.87
1476,82.56
1477,76.24
1478,78.94
1479,78.32
1480,93.11
1481,93.94
1482,93.01
1483,92.28
1484,80.23
1485,82.33
1486,67.13
1487,71.67
1488,62.84
1489,51.75
1490,48.14
1491,36.63
1492,29.65
1493,36.53
1494,35.82
1495,52.24
1496,45.86
1497,50.65
1498,57.21
1499,46.6
1500,49.06
1501,65.34
1502,69.22
1503,70.35
1504,43.11
1505,35.06
1506,33.94
1507,28.22
1508,51.2
1509,58.19
1510,55.64
1511,57.75
1512,62.94
1513,79.83
1514,80.49
1515,68.69
1516,79.55
1517,57.11
1518,46.41
1519,49.81
1520,21.52
1521,16.43
1522,20.33
1523,14.88
1524,34.52
1525,45.53
1526,50.34
1527,50.95
1528,56.21
1529,69.3
1530,60.18
1531,58.67
1532,53.69
1533,54.46
1534,47.51
1535,51.89
1536,52.75
1537,56.82
1538,71.83
1539,84.24
1540,83.15
1541,83.54
1542,82.0
1543,69.42
1544,65.86
1545,72.35
1546,45.91
1547,49.4
1548,38.75
1549,38.88
1550,37.4
1551,30.06
1552,40.92
1553,38.07
1554,47.61
1555,62.15
1556,63.77
1557,73.89
1558,77.24
1559,91.31
1560,89.53
1561,79.78
1562,89.75
1563,75.71
1564,76.38
1565,64.48
1566,42.7
1567,45.26
1568,35.16
1569,32.45
1570,40.32
1571,37.22
1572,46.45
1573,42.89
1574,37.32
1575,48.49
1576,35.31
1577,47.44
1578,53.82
1579,41.08
1580,56.07
1581,53.85
1582,61.48
1583,74.8
1584,71.74
1585,71.52
1586,73.36
1587,74.44
1588,82.42
1589,63.24
1590,69.98
1591,59.68
1592,63.83
1593,76.34
1594,86.56
1595,86.01
1596,85.07
1597,63.43
1598,53.18
1599,51.08
1600,51.75
1601,34.16
1602,16.7
1603,17.79
1604,10.26
1605,9.47
1606,15.05
1607,33.74
1608,36.15
1609,27.32
1610,46.77
1611,61.15
1612,58.82
1613,45.02
1614,43.9
1615,38.91
1616,31.97
1617,23.67
1618,26.76
1619,15.09
1620,17.44
1621,36.58
1622,47.44
1623,45.67
1624,53.35
1625,59.35
1626,58.31
1627,64.11
1628,75.46
1629,57.98
1630,46.05
1631,61.86
1632,64.63
1633,66.74
1634,54.97
1635,63.92
1636,56.01
1637,53.63
1638,64.73
1639,52.52
1640,26.57
1641,24.37
1642,17.16
1643,25.08
1644,37.36
1645,39.77
1646,36.03
1647,45.79
1648,54.9
1649,66.89
1650,77.62
1651,80.87
1652,75.86
1653,59.61
1654,73.2
1655,82.9
1656,74.38
1657,66.22
1658,58.86
1659,47.56
1660,38.8
1661,38.59
1662,46.31
1663,53.48
1664,58.63
1665,59.54
1666,65.55
1667,66.75
1668,81.42
1669,70.99
1670,78.21
1671,73.62
1672,68.46
1673,58.54
1674,59.37
1675,49.92
1676,73.1
1677,75.12
1678,69.42
1679,53.89
1680,63.95
1681,56.92
1682,65.73
1683,68.24
1684,66.11
1685,61.95
1686,60.59
1687,68.93
1688,89.87
1689,68.94
1690,64.15
1691,60.81
1692,65.46
1693,69.65
1694,69.34
1695,64.06
1696,64.85
1697,63.57
1698,84.21
1699,89.42
1700,84.0
1701,79.66
1702,78.97
1703,72.82
1704,88.47
1705,91.08
1706,90.03
1707,72.23
1708,75.18
1709,81.95
1710,78.4
1711,84.71
1712,88.77
1713,85.03
1714,85.89
1715,66.3
1716,72.05
1717,66.15
1718,53.18
1719,52.64
1720,20.84
1721,46.65
1722,52.93
1723,51.75
1724,51.77
1725,52.97
1726,56.61
1727,72.08
1728,76.22
1729,84.29
1730,80.9
1731,72.3
1732,71.11
1733,90.56
1734,77.06
1735,48.88
1736,39.3
1737,47.15
1738,39.2
1739,30.43
1740,46.31
1741,51.03
1742,48.24
1743,49.82
1744,75.99
1745,76.41
1746,65.52
1747,66.86
1748,81.37
1749,77.51
1750,71.9
1751,81.4
1752,89.52
1753,72.92
1754,52.41
1755,62.9
1756,71.09
1757,61.53
1758,52.34
1759,54.33
1760,51.3
1761,42.44
1762,50.27
1763,60.56
1764,55.6
1765,50.79
1766,58.79
1767,70.0
1768,67.53
1769,64.75
1770,88.88
1771,59.64
1772,67.86
1773,73.0
1774,48.58
1775,41.6
1776,38.19
1777,43.52
1778,55.32
1779,59.75
1780,68.13
1781,64.61
1782,56.28
1783,84.85
1784,80.19
1785,64.88
1786,54.9
1787,55.49
1788,60.11
1789,66.39
1790,65.82
1791,67.24
1792,59.02
1793,55.76
1794,58.3
1795,60.26
1796,18.77
1797,14.56
1798,10.91
1799,8.97
1800,6.23
1801,22.06
1802,22.96
1803,29.48
1804,31.12
1805,58.99
1806,37.31
1807,43.55
1808,53.31
1809,54.45
1810,51.47
1811,57.04
1812,62.12
1813,62.02
1814,60.88
1815,88.13
1816,74.9
1817,61.71
1818,69.87
1819,63.09
1820,60.34
1821,57.4
1822,58.01
1823,58.99
1824,61.44
1825,73.83
1826,75.4
1827,76.68
1828,79.55
1829,82.73
1830,79.78
1831,80.27
1832,79.1
1833,84.38
1834,78.36
1835,92.32
1836,93.16
1837,92.64
1838,91.23
1839,79.51
1840,81.14
1841,83.36
1842,79.07
1843,87.42
1844,87.79
1845,81.95
1846,83.76
1847,59.17
1848,73.24
1849,70.49
1850,68.09
1851,72.4
1852,69.75
1853,71.42
1854,70.22
1855,66.79
1856,89.42
1857,65.64
1858,69.43
1859,67.63
1860,68.29
1861,69.22
1862,65.79
1863,69.18
1864,56.52
1865,44.46
1866,36.7
1867,44.45
1868,43.43
1869,27.52
1870,42.22
1871,44.07
1872,48.23
1873,50.89
1874,59.64
1875,63.45
1876,58.36
1877,46.45
1878,53.61
1879,38.27
1880,40.08
1881,30.43
1882,31.16
1883,42.27
1884,58.1
1885,52.01
1886,85.14
1887,88.41
1888,65.72
1889,64.78
1890,77.95
1891,80.48
1892,78.27
1893,77.62
1894,73.32
1895,74.54
1896,61.14
1897,76.07
1898,56.97
1899,45.1
1900,29.3
1901,21.72
1902,26.12
1903,24.36
1904,27.93
1905,36.12
1906,25.99
1907,42.46
1908,41.3
